Kanji,StrokeCount,MeaningOne,MeaningTwo,MeaningThree,MeaningFour,MeaningFive,MeaningSix,MeaningSeven,MeaningEight,MeaningNine,MeaningTen
羅,19,gauze,thin,Rome,arrange,spread,,,,,
螺,17,small,edible,helical,,,,,,,
裸,13,naked,nude,uncovered,partially,,,,,,
来,7,come,due,next,cause,become,,,,,
莱,10,goosefoot,pigweed,,,,,,,,
頼,16,trust,request,,,,,,,,
雷,13,thunder,lightning,,,,,,,,
洛,9,Kyoto,the,,,,,,,,
絡,12,entwine,coil,get,,,,,,,
落,12,fall,drop,come,village,hamlet,,,,,
酪,13,dairy,whey,broth,fruit,,,,,,
乱,7,riot,war,disorder,disturb,,,,,,
卵,7,egg,ovum,spawn,roe,,,,,,
嵐,12,storm,tempest,,,,,,,,
欄,20,column,handrail,blank,space,,,,,,
濫,18,excessive,overflow,spread,,,,,,,
藍,18,indigo,,,,,,,,,
蘭,19,orchid,Holland,,,,,,,,
覧,17,perusal,see,,,,,,,,
利,7,profit,advantage,benefit,,,,,,,
吏,6,officer,an,,,,,,,,
履,15,perform,complete,footgear,shoes,boots,put,,,,
李,7,plum,,,,,,,,,
梨,11,pear,,,,,,,,,
理,11,logic,arrangement,reason,justice,truth,,,,,
璃,15,glassy,lapis,,,,,,,,
裏,13,back,amidst,in,reverse,inside,palm,sole,rear,lining,wrong
裡,12,reverse,inside,palm,sole,rear,lining,wrong,,,
里,7,ri,village,parent's,league,,,,,,
離,19,detach,separation,disjoin,digress,,,,,,
陸,11,land,six,,,,,,,,
律,9,rhythm,law,regulation,gauge,control,,,,,
率,11,ratio,rate,proportion,%,factor,lead,spearhead,command,,
立,5,stand,rise,set,erect,,,,,,
葎,12,creepers,trailing,vines,,,,,,,
掠,11,pillage,rob,graze,skim,sweep,cheat,hint,,,
略,11,abbreviation,omission,outline,shorten,capture,plunder,,,,
劉,15,weapon,logging,kill,peeling,etc),sparse,faded,,,
流,10,current,a,flow,forfeit,,,,,,
溜,13,collect,gather,be,,,,,,,
琉,11,precious,gem,lapis,,,,,,,
留,10,detain,fasten,halt,stop,,,,,,
硫,12,sulphur,,,,,,,,,
粒,11,grains,drop,counter,,,,,,,
隆,11,hump,high,noble,prosperity,,,,,,
竜,10,dragon,imperial,,,,,,,,
龍,16,dragon,imperial,,,,,,,,
侶,9,companion,follower,,,,,,,,
慮,15,prudence,thought,concern,consider,deliberate,fear,,,,
旅,10,trip,travel,,,,,,,,
虜,13,captive,barbarian,low,,,,,,,
了,2,complete,finish,,,,,,,,
亮,9,clear,help,,,,,,,,
僚,14,colleague,official,companion,,,,,,,
両,6,both,old,counter,in,two,,,,,
凌,10,endure,keep,stave,tide,defy,slight,surpass,,,
寮,15,dormitory,hostel,villa,tea,,,,,,
料,10,fee,materials,,,,,,,,
梁,11,weir,fish,beam,girder,,,,,,
涼,11,refreshing,nice,,,,,,,,
猟,11,game-hunting,shooting,game,bag,,,,,,
療,17,heal,cure,,,,,,,,
瞭,17,clear,,,,,,,,,
稜,13,angle,edge,corner,power,majesty,,,,,
糧,18,provisions,food,bread,,,,,,,
良,7,good,pleasing,skilled,,,,,,,
諒,15,fact,reality,understand,appreciate,,,,,,
遼,15,distant,,,,,,,,,
量,12,quantity,measure,weight,amount,consider,estimate,surmise,,,
陵,11,mausoleum,imperial,mound,hill,,,,,,
領,14,jurisdiction,dominion,territory,fief,reign,,,,,
力,2,power,strength,strong,strain,bear,exert,,,,
緑,14,green,,,,,,,,,
倫,10,ethics,companion,,,,,,,,
厘,9,rin,1/10,1/10,,,,,,,
林,8,grove,forest,,,,,,,,
淋,11,lonely,deserted,,,,,,,,
燐,17,phosphorus,,,,,,,,,
琳,12,jewel,tinkling,,,,,,,,
臨,18,look,face,meet,confront,attend,call,,,,
輪,15,wheel,ring,circle,link,loop,counter,,,,
隣,16,neighboring,,,,,,,,,
鱗,24,scales,,,,,,,,,
麟,24,Chinese,genius,giraffe,bright,shining,,,,,
瑠,14,lapis,,,,,,,,,
塁,12,bases,fort,rampart,walls,base(ball),,,,,
涙,10,tears,sympathy,,,,,,,,
累,11,accumulate,involvement,trouble,tie,continually,,,,,
類,18,sort,kind,variety,class,genus,,,,,
令,5,orders,laws,command,decree,good,,,,,
伶,7,actor,,,,,,,,,
例,8,example,custom,usage,precedent,,,,,,
冷,7,cool,cold,person),chill,,,,,,
励,7,encourage,be,inspire,,,,,,,
嶺,17,peak,summit,,,,,,,,
怜,8,wise,,,,,,,,,
玲,9,sound,,,,,,,,,
礼,5,salute,bow,ceremony,thanks,remuneration,,,,,
苓,8,plant,herb,mushroom,,,,,,,
鈴,13,small,buzzer,,,,,,,,
隷,16,slave,servant,prisoner,criminal,follower,,,,,
零,13,zero,spill,overflow,nothing,cipher,,,,,
霊,15,spirits,soul,,,,,,,,
麗,19,lovely,beautiful,graceful,resplendent,,,,,,
齢,17,age,,,,,,,,,
暦,14,calendar,almanac,,,,,,,,
歴,14,curriculum,continuation,passage,,,,,,,
列,6,file,row,rank,tier,column,,,,,
劣,6,inferiority,be,be,,,,,,,
烈,10,ardent,violent,vehement,furious,severe,extreme,,,,
裂,12,split,rend,tear,,,,,,,
廉,13,bargain,reason,charge,suspicion,point,account,purity,honest,low,cheap
恋,10,romance,in,yearn,miss,darling,,,,,
憐,16,pity,have,sympathise,compassion,,,,,,
漣,13,ripples,,,,,,,,,
煉,12,refine,kneading,,,,,,,,
簾,19,bamboo,rattan,,,,,,,,
練,14,practice,gloss,train,drill,polish,refine,,,,
聯,17,party,gang,clique,,,,,,,
連,10,take,lead,join,connect,party,gang,clique,,,
錬,16,tempering,refine,drill,train,polish,,,,,
呂,7,spine,backbone,,,,,,,,
魯,15,foolish,Russia,,,,,,,,
櫓,19,oar,tower,,,,,,,,
炉,8,hearth,furnace,kiln,reactor,,,,,,
賂,13,bribe,,,,,,,,,
路,13,path,route,road,distance,,,,,,
露,21,dew,tears,expose,Russia,,,,,,
労,7,labor,thank,reward,toil,trouble,,,,,
婁,11,frequently,tie,,,,,,,,
廊,12,corridor,hall,tower,,,,,,,
弄,7,play,tamper,trifle,,,,,,,
朗,10,melodious,clear,bright,serene,cheerful,,,,,
楼,13,watchtower,lookout,high,,,,,,,
榔,13,betel,,,,,,,,,
浪,10,wandering,waves,billows,reckless,unrestrained,,,,,
漏,14,leak,escape,time,,,,,,,
牢,7,prison,jail,hardness,,,,,,,
狼,10,wolf,,,,,,,,,
篭,16,seclude,cage,coop,implied,,,,,,
老,6,old,old,grow,,,,,,,
聾,22,deafness,deaf,deafen,,,,,,,
蝋,14,wax,,,,,,,,,
郎,9,son,counter,,,,,,,,
六,4,six,,,,,,,,,
麓,19,foot,,,,,,,,,
禄,12,fief,allowance,pension,grant,happiness,,,,,
肋,6,rib,,,,,,,,,
録,16,record,,,,,,,,,
論,15,argument,discourse,,,,,,,,
倭,10,Yamato,ancient,,,,,,,,
和,8,harmony,Japanese,peace,soften,Japan,,,,,
話,13,tale,talk,,,,,,,,
歪,9,warp,bend,strained,distort,,,,,,
賄,13,bribe,board,supply,finance,,,,,,
脇,10,armpit,the,another,flank,supporting,,,,,
惑,12,beguile,delusion,perplexity,,,,,,,
枠,8,frame,framework,spindle,spool,bounding-box,(kokuji),,,,
鷲,23,eagle,,,,,,,,,
亙,6,range,reach,extend,cover,,,,,,
亘,6,span,range,extend,,,,,,,
鰐,20,alligator,crocodile,,,,,,,,
詫,13,apologize,,,,,,,,,
藁,17,straw,,,,,,,,,
蕨,15,bracken,fernbrake,,,,,,,,
椀,12,wooden,,,,,,,,,
湾,12,gulf,bay,inlet,,,,,,,
碗,13,porcelain,tea,,,,,,,,
腕,12,arm,ability,talent,,,,,,,
丐,4,beggar,beg,give,,,,,,,
丕,5,large,great,grand,glorious,distinguished,,,,,
个,3,counter,individual,,,,,,,,
丱,5,saguaro-like,horn-shaped,young,tender,,,,,,
丶,1,dot,tick,,,,,,,,
丼,5,bowl,bowl,,,,,,,,
丿,1,katakana,,,,,,,,,
乂,2,mow,cut,subdue,,,,,,,
乖,8,oppose,disobey,,,,,,,,
乘,10,power,multiplication,record,counter,,,,,,
亂,13,war,disorder,riot,disturb,,,,,,
亅,1,feathered,barb,,,,,,,,
豫,16,relaxed,comfortable,at,,,,,,,
亊,7,affair,matter,business,to,accident,incident,,,,
舒,12,stretch,loosen,open,relax,mention,,,,,
弍,5,two,,,,,,,,,
于,3,going,from,,,,,,,,
亞,8,rank,follow,,,,,,,,
亟,8,fast,quick,sudden,,,,,,,
亠,2,kettle,,,,,,,,,
亢,4,high,,,,,,,,,
亰,9,capital,,,,,,,,,
亳,10,an,,,,,,,,,
亶,13,truly,wholly,cordial,,,,,,,
从,4,two,,,,,,,,,
仍,4,therefore,consequently,,,,,,,,
仄,4,be,suggest,intimate,faint,stupid,hint,,,,
仆,4,fall,lie,bend,,,,,,,
仂,4,surplus,remainder,,,,,,,,
仗,5,cane,stick,,,,,,,,
仞,5,fathom,,,,,,,,,
仭,5,fathom,,,,,,,,,
仟,5,thousand,,,,,,,,,
价,6,man,,,,,,,,,
伉,6,same,compare,,,,,,,,
佚,7,lost,hide,peace,mistake,beautiful,in,,,,
估,7,price,business,selling,,,,,,,
佛,7,France,,,,,,,,,
佝,7,foolish,stooped,,,,,,,,
佗,7,proud,lonely,,,,,,,,
佇,7,stop,linger,appearance,figure,bearing,,,,,
佶,8,healthy,correct,,,,,,,,
侈,8,luxury,pride,,,,,,,,
侏,8,actor,supporting,,,,,,,,
侘,8,proud,lonely,,,,,,,,
佻,8,frivolity,,,,,,,,,
佩,8,wear,put,,,,,,,,
佰,8,hundred,leader,east-west,,,,,,,
侑,8,urge,,,,,,,,,
佯,8,pretend,feign,false,deceitful,,,,,,
來,8,come,due,next,cause,become,,,,,
侖,8,think,be,,,,,,,,
儘,16,as,because,,,,,,,,
俔,9,compare,spy,,,,,,,,
俟,9,wait,depend,,,,,,,,
俎,9,altar,chopping,,,,,,,,
俘,9,captive,,,,,,,,,
俛,9,look,diligent,,,,,,,,
俑,9,effigy,,,,,,,,,
俚,9,rustic,ill,,,,,,,,
俐,9,clever,,,,,,,,,
俤,9,visage,face,trace,shadow,memory,(kokuji),,,,
俥,9,jinricksha,rickshaw,(kokuji),,,,,,,
倚,10,lean,rest,,,,,,,,
倨,10,pride,squatting,,,,,,,,
倔,10,stubborn,,,,,,,,,
倪,10,stare,,,,,,,,,
倥,10,boorish,urgent,,,,,,,,
倅,10,son,my,,,,,,,,
伜,6,son,my,,,,,,,,
俶,10,beginning,good,excel,,,,,,,
倡,10,prostitute,actor,,,,,,,,
倩,10,carefully,attentively,profoundly,,,,,,,
倬,10,large,clear,remarkable,,,,,,,
俾,10,tutor,,,,,,,,,
俯,10,bend,lie,,,,,,,,
們,10,plural,,,,,,,,,
倆,10,skill,,,,,,,,,
偃,11,dam,weir,,,,,,,,
假,11,temporary,interim,assumed,informal,,,,,,
會,13,meet,party,association,interview,join,,,,,
偕,11,together,,,,,,,,,
偐,11,fake,counterfeit,,,,,,,,
偈,11,verse,fast,healthy,rest,,,,,,
做,11,make,,,,,,,,,
偖,11,well,now,,,,,,,,
偬,11,feel,suffer,,,,,,,,
偸,11,steal,,,,,,,,,
傀,12,large,,,,,,,,,
傚,12,imitate,follow,emulate,,,,,,,
傅,12,tutor,,,,,,,,,
傴,13,bend,stoop,bow,,,,,,,
傲,13,be,,,,,,,,,
僊,13,hermit,,,,,,,,,
傳,13,summon,propagate,transmit,,,,,,,
僂,13,bend,,,,,,,,,
僖,14,enjoyment,pleasure,,,,,,,,
僞,14,lie,falsehood,deceive,pretend,,,,,,
僥,14,luck,seek,desire,,,,,,,
僭,14,boastfully,,,,,,,,,
僣,14,boastfully,,,,,,,,,
僮,14,child,servant,foolishness,,,,,,,
價,15,price,value,,,,,,,,
僵,15,fall,collapse,,,,,,,,
儉,15,economy,thrifty,,,,,,,,
儁,14,excellence,talented,,,,,,,,
儂,15,I,my,he,his,me,,,,,
儖,17,ugly,,,,,,,,,
儕,16,companion,,,,,,,,,
儔,16,companion,similar,,,,,,,,
儚,15,fleeting,fickle,,,,,,,,
儡,17,defeat,,,,,,,,,
儺,21,exorcism,,,,,,,,,
儷,21,companion,,,,,,,,,
儼,22,serious,untouched,solemnly,majestically,,,,,,
儻,22,excel,surpass,if,perhaps,,,,,,
儿,2,legs,,,,,,,,,
兀,3,high,lofty,bald,dangerous,,,,,,
兒,8,child,young,,,,,,,,
兌,7,exchange,,,,,,,,,
兔,8,rabbit,hare,,,,,,,,
兢,14,discreet,careful,,,,,,,,
竸,22,contest,race,,,,,,,,
兩,8,old,both,counter,two,,,,,,
兪,9,affirmative,relaxed,at,,,,,,,
兮,4,auxiliary,,,,,,,,,
冀,16,hope,wish,Hebei,,,,,,,
冂,2,upside-down,,,,,,,,,
囘,5,round,,,,,,,,,
册,5,counter,volume,,,,,,,,
冉,5,red,tan,,,,,,,,
冏,7,light,clear,bright,,,,,,,
冑,9,helmet,,,,,,,,,
冓,10,put,inner,,,,,,,,
冕,11,crown,,,,,,,,,
冖,2,wa-shaped,,,,,,,,,
冤,10,false,hatred,,,,,,,,
冦,10,foe,enemy,revenge,grudge,feud,,,,,
冢,10,mound,hillock,,,,,,,,
冩,14,write,draw,sketch,compose,,,,,,
冪,15,power,exponent,,,,,,,,
冫,2,two-stroke,,,,,,,,,
决,6,decide,determine,judge,,,,,,,
冱,6,freeze,be,be,attain,,,,,,
冲,6,offing,open,rise,,,,,,,
冰,6,ice,hail,,,,,,,,
况,7,still,still,,,,,,,,
冽,8,cold,,,,,,,,,
凅,10,wither,droop,lame,,,,,,,
凉,10,nice,,,,,,,,,
凛,15,cold,strict,severe,,,,,,,
几,2,table,table,table,,,,,,,
處,11,place,locale,department,,,,,,,
凩,6,wintry,(kokuji),,,,,,,,
凭,8,lean,recline,lie,,,,,,,
凰,11,female,,,,,,,,,
凵,2,open,open,,,,,,,,
凾,9,box,,,,,,,,,
刄,3,blade,sword,edge,,,,,,,
刋,5,cut,whittle,,,,,,,,
刔,6,scoop,gouge,,,,,,,,
刎,6,decapitate,,,,,,,,,
刧,7,threat,long,,,,,,,,
刪,7,cut,,,,,,,,,
刮,8,scrape,,,,,,,,,
刳,8,clear,serene,cold,,,,,,,
刹,8,temple,,,,,,,,,
剏,9,begin,be,break,fall,,,,,,
剄,9,beheading,,,,,,,,,
剋,9,victory,,,,,,,,,
剌,9,opposed,biased,,,,,,,,
剞,10,carve,,,,,,,,,
剔,10,cutting,,,,,,,,,
剪,11,clip,snip,cut,,,,,,,
剴,12,scythe,suitability,,,,,,,,
剩,12,leftovers,residue,remains,,,,,,,
剳,11,sickle,stay,remain,,,,,,,
剿,13,destroy,,,,,,,,,
剽,13,threat,,,,,,,,,
劍,15,sword,,,,,,,,,
劔,16,sword,,,,,,,,,
劒,16,sword,,,,,,,,,
剱,11,sword,,,,,,,,,
劈,15,break,tear,split,,,,,,,
劑,16,medicine,drug,dose,,,,,,,
辨,16,discrimination,dispose,distinguish,,,,,,,
劬,7,become,work,,,,,,,,
劭,7,recommend,work,beautiful,,,,,,,
劼,8,be,hard,strive,,,,,,,
劵,8,become,stop,,,,,,,,
勁,9,strong,,,,,,,,,
勍,10,strong,fierce,,,,,,,,
勗,11,be,,,,,,,,,
勞,12,thank,reward,,,,,,,,
勣,13,merit,achievement,,,,,,,,
勦,13,destroy,steal,,,,,,,,
飭,13,correct,rectify,,,,,,,,
勠,13,combine,join,,,,,,,,
勳,16,meritorious,merits,rank,,,,,,,
勵,16,strive,encourage,,,,,,,,
勸,19,persuade,recommend,advise,encourage,offer,,,,,
勹,2,wrapping,wrapping,,,,,,,,
匆,5,rush,hurry,be,,,,,,,
匈,6,turmoil,Hungary,,,,,,,,
甸,7,region,outskirts,,,,,,,,
匍,9,crawl,creep,,,,,,,,
匐,11,crawl,,,,,,,,,
匏,11,gourd,,,,,,,,,
匕,2,spoon,spoon,,,,,,,,
匚,2,box-on-side,,,,,,,,,
匣,7,box,,,,,,,,,
匯,13,whirl,swirl,,,,,,,,
匱,14,chest,coffer,rice,,,,,,,
匳,15,cosmetics,,,,,,,,,
匸,2,hiding,,,,,,,,,
區,11,ward,district,,,,,,,,
卆,4,soldier,private,die,,,,,,,
卅,4,thirty,,,,,,,,,
丗,5,thirty,,,,,,,,,
卉,5,grass,,,,,,,,,
卍,6,swastika,gammadion,fylfot,,,,,,,
凖,12,correspond,proportionate,conform,imitate,,,,,,
卞,4,law,rule,rash,hasty,,,,,,
卩,2,seal,,,,,,,,,
卮,5,large,apt,fitting,,,,,,,
夘,5,sign,fourth,5-7AM,east,,,,,,
卻,9,instead,on,rather,,,,,,,
卷,8,volume,book,part,,,,,,,
厂,2,wild,trailing,,,,,,,,
厖,9,large,mix,,,,,,,,
厠,11,privy,toilet,,,,,,,,
厦,12,house,,,,,,,,,
厥,12,that,,,,,,,,,
厮,14,cut,divide,companion,follower,,,,,,
厰,14,workshop,,,,,,,,,
厶,2,I,myself,katakana,,,,,,,
參,11,three,going,coming,visiting,,,,,,
簒,17,rob,,,,,,,,,
雙,18,pair,set,comparison,counter,,,,,,
叟,10,old,,,,,,,,,
曼,11,wide,beautiful,,,,,,,,
燮,17,moderate,alleviate,boil,,,,,,,
叮,5,courtesy,,,,,,,,,
叨,5,truly,graciously,gratuitously,ravenously,,,,,,
叭,5,open,,,,,,,,,
叺,5,straw,(kokuji),,,,,,,,
吁,6,exclamation,,,,,,,,,
吽,7,bark,growl,,,,,,,,
呀,8,open,bare,empty,,,,,,,
听,7,open-mouthed,listen,pound,lb),,,,,,
吭,7,throat,neck,pivot,,,,,,,
吼,7,bark,bay,howl,bellow,roar,cry,,,,
吮,7,suck,,,,,,,,,
吶,7,stutter,,,,,,,,,
吩,7,give,sprout,,,,,,,,
吝,7,miserly,stingy,sparing,,,,,,,
呎,7,foot,,,,,,,,,
咏,8,recitation,poem,song,composing,,,,,,
呵,8,scold,blow,reprove,,,,,,,
咎,8,blame,censure,reprimand,,,,,,,
呟,8,mutter,grumble,murmur,,,,,,,
呱,9,cry,,,,,,,,,
呷,8,sip,noisy,quack,,,,,,,
呰,9,blame,censure,damage,this,,,,,,
咒,8,spell,curse,malediction,,,,,,,
呻,8,moan,groan,,,,,,,,
咀,8,bite,eat,,,,,,,,
呶,8,noisy,,,,,,,,,
咄,8,exclamation,cry,scold,talk,chat,,,,,
咐,8,blow,command,,,,,,,,
咆,8,bark,roar,get,,,,,,,
哇,9,fawning,laughing,,,,,,,,
咢,9,outspokenly,,,,,,,,,
咸,9,all,same,,,,,,,,
咥,9,laugh,chew,eat,,,,,,,
咬,9,bite,gnaw,chew,gear,dash,,,,,
哄,9,resound,reverberate,,,,,,,,
哈,9,school,fish's,exhaling,,,,,,,
咨,9,investigate,,,,,,,,,
哂,9,derisive,sneer,,,,,,,,
咤,9,clicking,upbraid,pity,belch,,,,,,
咾,9,voice,,,,,,,,,
咼,9,crooked,evil,dishonest,,,,,,,
哘,9,invite,entice,(kokuji),,,,,,,
哥,10,big,,,,,,,,,
哦,10,sing,,,,,,,,,
唏,10,lament,grieve,,,,,,,,
唔,10,reading,,,,,,,,,
哽,10,sob,get,,,,,,,,
哮,10,roar,howl,growl,bellow,,,,,,
哭,10,weep,moan,wail,,,,,,,
哺,10,nurse,suckle,,,,,,,,
哢,10,chirp,twitter,warble,,,,,,,
唹,11,laugh,smile,,,,,,,,
啀,11,wrangle,growl,,,,,,,,
啣,12,hold,,,,,,,,,
啌,11,angry,gargle,throat,,,,,,,
售,11,sell,be,,,,,,,,
啜,11,suck,sip,,,,,,,,
啅,11,noisy,peck,chirping,twittering,,,,,,
啖,11,eat,,,,,,,,,
啗,11,allure,entice,,,,,,,,
唸,11,groan,roar,,,,,,,,
唳,10,cry,honking,droning,,,,,,,
啝,11,follow,weeping,,,,,,,,
喙,12,beak,,,,,,,,,
喀,12,vomit,,,,,,,,,
咯,9,quarrel,,,,,,,,,
喊,12,cry,call,,,,,,,,
喟,12,moan,,,,,,,,,
啻,12,incomparable,merely,,,,,,,,
啾,12,cry,whimper,neigh,,,,,,,
喘,12,pant,gasp,breathe,,,,,,,
喞,12,speak,,,,,,,,,
單,12,one,single,simple,,,,,,,
啼,12,bark,chirp,cry,,,,,,,
喃,12,chatter,rattle,,,,,,,,
喩,12,metaphor,compare,,,,,,,,
喇,12,chatter,rattle,,,,,,,,
喨,12,clear,,,,,,,,,
嗚,13,weep,ah,alas,,,,,,,
嗅,13,smell,sniff,scent,,,,,,,
嗟,13,lament,grieve,sigh,alas,ah,,,,,
嗄,13,hoarse,,,,,,,,,
嗜,13,like,taste,modest,,,,,,,
嗤,13,laugh,ridicule,,,,,,,,
嗔,13,be,,,,,,,,,
嘔,14,vomit,nauseated,,,,,,,,
嗷,14,noisy,,,,,,,,,
嘖,14,scold,torment,chastise,,,,,,,
嗾,14,sic'em,egg,instigate,,,,,,,
嗽,14,rinse,wash,gargle,,,,,,,
嘛,14,wheat,,,,,,,,,
嗹,14,voluble,garrulous,,,,,,,,
噎,15,choke,smother,,,,,,,,
噐,15,vessel,receptacle,implement,instrument,ability,,,,,
營,17,camp,perform,build,conduct,,,,,,
嘴,16,beak,bill,,,,,,,,
嘶,15,neigh,whinny,,,,,,,,
嘲,15,ridicule,insult,,,,,,,,
嘸,15,how,indeed,I,,,,,,,
噫,16,exclamation,burp,belch,,,,,,,
噤,16,shut,,,,,,,,,
嘯,16,roar,howl,recite,feign,,,,,,
噬,16,bite,,,,,,,,,
噪,16,be,,,,,,,,,
嚆,16,call,,,,,,,,,
嚀,17,kindness,,,,,,,,,
嚊,17,breathing,snorting,wife,one's,,,,,,
嚠,18,a,,,,,,,,,
嚔,17,sneeze,,,,,,,,,
嚏,17,sneeze,,,,,,,,,
嚥,19,swallow,,,,,,,,,
嚮,19,guide,direct,incline,favor,,,,,,
嚶,20,chirping,birds,,,,,,,,
嚴,20,strictness,severity,rigidity,,,,,,,
囂,21,noisy,boisterous,,,,,,,,
嚼,21,bite,,,,,,,,,
囁,21,whisper,murmur,,,,,,,,
囃,21,play,accompany,beat,banter,jeer,applaud,,,,
囀,21,sing,chirp,warble,chatter,,,,,,
囈,21,foolish,,,,,,,,,
囎,22,used,(kokuji),,,,,,,,
囑,24,request,send,,,,,,,,
囓,24,gnaw,,,,,,,,,
囗,3,box,box,,,,,,,,
囮,7,decoy,lure,stool,,,,,,,
囹,8,prison,,,,,,,,,
圀,9,country,,,,,,,,,
囿,9,game,pasture,garden,,,,,,,
圄,10,prison,arrest,,,,,,,,
圉,11,prison,horse,ostler,,,,,,,
國,11,country,,,,,,,,,
圍,13,enclose,surround,encircle,preserve,store,keep,,,,
圓,13,yen,circle,round,,,,,,,
團,14,association,,,,,,,,,
圖,14,drawing,plan,,,,,,,,
嗇,13,miserly,stingy,sparing,,,,,,,
圜,16,round,go,,,,,,,,
圦,5,sluice,spout,floodgate,penstock,(kokuji),,,,,
圷,6,low-lying,(kokuji),,,,,,,,
圸,6,steep,(kokuji),,,,,,,,
坎,7,pitfall,,,,,,,,,
圻,7,region,,,,,,,,,
址,7,ruins,,,,,,,,,
坏,7,bowl,,,,,,,,,
坩,8,jar,pot,,,,,,,,
埀,10,let,suspend,hand,down,,,,,,
垈,8,swamp,wetlands,muddy,(kokuji),,,,,,
坡,8,dike,dam,slope,bank,,,,,,
坿,8,slope,hill,,,,,,,,
垉,8,collapse,break,,,,,,,,
垓,9,border,boundary,staircase,hundred,,,,,,
垠,9,limit,boundary,,,,,,,,
垳,9,cliff,used,(kokuji),,,,,,,
垤,9,anthill,hill,,,,,,,,
垪,9,used,,,,,,,,,
垰,9,mountain,ancient,low,(kokuji),,,,,,
埃,10,dust,,,,,,,,,
埆,10,barren,,,,,,,,,
埔,10,used,,,,,,,,,
埒,10,picket,limits,be,,,,,,,
埓,10,pale,picket,limits,come,,,,,,
堊,11,whitewash,,,,,,,,,
埖,10,garbage,refuse,(kokuji),,,,,,,
埣,11,barren,,,,,,,,,
堋,11,bury,archery,,,,,,,,
堙,12,close,stop,,,,,,,,
堝,12,crucible,melting,,,,,,,,
塲,14,open,field,market,,,,,,,
堡,12,fort,,,,,,,,,
塢,13,fortress,village,,,,,,,,
塋,13,cemetery,,,,,,,,,
塰,13,title,(kokuji),,,,,,,,
毀,13,break,destroy,censure,be,be,be,be,,,
塒,13,roost,hen,spiral,,,,,,,
堽,12,mound,used,,,,,,,,
塹,14,moat,ditch,,,,,,,,
墅,14,shed,country,countryside,,,,,,,
墹,15,steep,,,,,,,,,
墟,15,ruins,,,,,,,,,
墫,15,cup,,,,,,,,,
墺,16,land,shore,Austria,,,,,,,
壞,19,demolition,break,destroy,,,,,,,
墻,16,fence,hedge,,,,,,,,
墸,15,hesitate,(phantom,,,,,,,,
墮,15,descend,lapse,degenerate,,,,,,,
壅,16,plug,shut,,,,,,,,
壓,17,pressure,,,,,,,,,
壑,17,valley,,,,,,,,,
壗,17,steep,,,,,,,,,
壙,18,hole,,,,,,,,,
壘,18,fort,rampart,walls,base(ball),,,,,,
壥,20,fine,shop,store,(phantom,,,,,,
壜,19,bottle,vial,jar,,,,,,,
壤,20,soil,loam,earth,rich,,,,,,
壟,19,mound,grave,rice,,,,,,,
壯,7,big,large,robust,name,,,,,,
壺,12,jar,pot,,,,,,,,
壹,12,number,,,,,,,,,
壻,12,son-in-law,,,,,,,,,
壼,13,palace,,,,,,,,,
壽,14,longevity,congratulations,,,,,,,,
夂,3,late,delayed,winter,,,,,,,
夊,3,winter,,,,,,,,,
夐,14,far,distant,,,,,,,,
夛,6,much,many,more,over,,,,,,
梦,11,dream,visionary,wishful,,,,,,,
夥,14,immense,tremendous,,,,,,,,
夬,4,decide,determine,archery,,,,,,,
夭,4,early,calamity,,,,,,,,
夲,5,advance,to,origin,source,,,,,,
夸,6,boast,,,,,,,,,
夾,7,insert,,,,,,,,,
竒,9,strange,strangeness,curiosity,,,,,,,
奕,9,large,,,,,,,,,
奐,9,clear,bright,,,,,,,,
奎,9,star,god,,,,,,,,
奚,10,servant,what,why,,,,,,,
奘,10,large,great,,,,,,,,
奢,12,extravagance,luxury,,,,,,,,
奠,12,decision,,,,,,,,,
奧,13,heart,interior,,,,,,,,
奬,14,prize,reward,give,,,,,,,
奩,14,lady's,trousseau,,,,,,,,
妁,6,go-between,,,,,,,,,
妝,7,dress,,,,,,,,,
佞,7,flattery,insincerity,,,,,,,,
侫,8,flattery,insincerity,,,,,,,,
妣,7,mother,,,,,,,,,
妲,8,female,,,,,,,,,
姆,8,wet,,,,,,,,,
姨,9,younger,,,,,,,,,
姜,9,Chinese,ginger,,,,,,,,
妍,7,beauty,splendor,,,,,,,,
姙,9,be(come),,,,,,,,,
姚,9,beautiful,,,,,,,,,
娥,10,beautiful,,,,,,,,,
娟,10,beauty,,,,,,,,,
娑,10,old,,,,,,,,,
娜,10,graceful,,,,,,,,,
娉,10,ask,marry,good-looking,,,,,,,
娚,10,loud,,,,,,,,,
婀,11,charm,flirtation,,,,,,,,
婬,11,lewdness,licentiousness,,,,,,,,
婉,11,graceful,,,,,,,,,
娵,11,marry,bride,,,,,,,,
娶,11,marry,arrange,,,,,,,,
婢,11,maidservant,,,,,,,,,
婪,11,covet,,,,,,,,,
媚,12,flatter,humor,flirt,,,,,,,
媼,13,mother,grandma,old,,,,,,,
媾,13,association,intimacy,,,,,,,,
嫋,13,supple,pliant,delicate,slender,,,,,,
嫂,13,elder,,,,,,,,,
媽,13,mother,mare,,,,,,,,
嫣,14,beauty,,,,,,,,,
嫗,14,old,mother,,,,,,,,
嫦,14,proper,,,,,,,,,
嫩,14,young,weak,,,,,,,,
嫖,14,wanton,hedonistic,,,,,,,,
嫺,15,refined,elegant,skilled,,,,,,,
